"Summary report generated by run_summary.py, https://github.com/aekiss/run_summary"
report generated:,2020-12-17T10:15:44+11:00
control directory path:,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,git branch:,01deg_jra55v140_iaf_cycle3
output path:,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3
,Job Id,Run completion date,Exit Status,Timeout,Walltime Requested (hr),Walltime Used (hr),qsub_flags,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Failed jobs,Failed jobids,Queue,Service Units,SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages
,13671111,2020-11-20T18:29:14,1,False,5.0,0.07305555555555555,,505,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,1774.37,,,,,,8099.839999999851,12144,,,,,,,,,,,,,,d757a7f10eba9f80968dbff82a3154a59b8f38d8,2020-11-20 18:18:38 +1100,,
,13671124,2020-11-20T18:33:19,1,False,5.0,0.06055555555555556,,505,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,1470.77,,,,,,8232.959999999963,12144,,,,,,,,,,,,,,d757a7f10eba9f80968dbff82a3154a59b8f38d8,2020-11-20 18:18:38 +1100,,
,13671159,2020-11-20T18:37:16,1,False,5.0,0.05472222222222222,,505,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,1329.09,,,,,,8192.0,12144,,,,,,,,,,,,,,d757a7f10eba9f80968dbff82a3154a59b8f38d8,2020-11-20 18:18:38 +1100,,
,13732526,2020-11-24T03:19:12,271,True,5.0,5.009166666666666,,,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,121662.64,,,,,,751.089999999851,12144,,,,,,,,,,,,,,1e5a105e8b9dc16f83adf618f2f73623d93a9cda,2020-11-23 22:27:26 +1100,,
,13744886,2020-11-24T06:46:44,1,False,3.0,0.43166666666666664,,505,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,10484.32,,,,,,8529.919999999925,12144,,,,,,,,,,,,,,c4fc86d2f7d081a27643f91f2e893c2cf745eae5,2020-11-24 06:13:13 +1100,,
,13753588,2020-11-24T13:37:44,271,False,3.0,1.5652777777777778,,,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,38017.47,,,,,,9297.919999999925,12144,,,,,,,,,,,,,,869642e4678aaa115f7154d0021b11bd54185be7,2020-11-24 12:07:02 +1100,,
,13826928,2020-11-26T12:25:37,271,False,5.0,1.0169444444444444,,,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,24699.55,,,,,,8693.759999999776,12144,,,,,,,,,,,,,,aa350100967162816989513c127d2282f184d6a1,2020-11-26 11:23:09 +1100,,
,13828860,2020-11-26T13:26:31,271,False,5.0,0.8541666666666666,,,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,20746.0,,,,,,8427.519999999553,12144,,,,,,,,,,,,,,31c60348be28d6e065b117a1076790266ba6e936,2020-11-26 12:40:00 +1100,,
,13832479,2020-11-26T16:35:32,271,False,5.0,0.5302777777777777,,,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,12879.39,,,,,,6328.320000000298,12144,,,,,,,,,,,,,,32c4ffdd566600d076344f397f2bf0c1f11132b3,2020-11-26 16:09:36 +1100,,
,13833593,2020-11-26T19:03:35,0,False,5.0,2.0269444444444447,-W umask=027,505,1962-04-01T00:00:00,1962-07-01T00:00:00,,91.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output505,477.388,,,Andrew Kiss,,,normal,49230.43,,,,,,10496.0,12144,,,0.059,504.055529,4631.54,481.08,"[150, 100]",sectrobin,18,15,,80,2,a713fc6eb752866e090b15a1e661939c1de7093d,2020-11-26 16:48:57 +1100,,
,13838312,2020-11-27T00:21:22,0,False,5.0,2.1169444444444445,-W umask=027,506,1962-07-01T00:00:00,1962-10-01T00:00:00,,92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output506,488.725,,,Andrew Kiss,,,normal,51416.35,,,,,,10414.080000000075,12144,,,0.231,2450.897111,4524.95,2182.39,"[150, 100]",sectrobin,18,15,,80,2,a713fc6eb752866e090b15a1e661939c1de7093d,2020-11-26 16:48:57 +1100,,
,13840701,2020-11-27T02:34:45,0,False,5.0,2.2177777777777776,-W umask=027,507,1962-10-01T00:00:00,1963-01-01T00:00:00,,92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output507,504.575,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart507,58.485,Andrew Kiss,,,normal,53865.39,,,,,,10373.120000000112,12144,,,0.136,1328.063851,4647.11,1220.95,"[150, 100]",sectrobin,18,15,,80,2,a713fc6eb752866e090b15a1e661939c1de7093d,2020-11-26 16:48:57 +1100,,
,13843123,2020-11-27T02:57:39,1,False,5.0,0.3786111111111111,,508,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,9195.71,,,,,,9246.71999999974,12144,,,,,,,,,,,,,,a713fc6eb752866e090b15a1e661939c1de7093d,2020-11-26 16:48:57 +1100,,
,13849680,2020-11-27T13:34:21,271,False,5.0,1.4058333333333333,,,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,34144.88,,,,,,8826.879999999888,12144,,,,,,,,,,,,,,a713fc6eb752866e090b15a1e661939c1de7093d,2020-11-26 16:48:57 +1100,,
,13854069,2020-11-27T14:01:10,271,False,5.0,0.3925,,,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,9533.04,,,,,,5847.040000000037,12144,,,,,,,,,,,,,,a713fc6eb752866e090b15a1e661939c1de7093d,2020-11-26 16:48:57 +1100,,
,13880412,2020-11-28T18:03:12,0,False,5.0,2.076111111111111,-W umask=027,505,1962-04-01T00:00:00,1962-07-01T00:00:00,,91.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output505,477.388,,,Andrew Kiss,,,normal,50424.59,,,,,,10229.759999999776,12144,,,0.059,504.055529,4631.54,481.08,"[150, 100]",sectrobin,18,15,,80,2,0c9e3c3f3cf6d2a78058e08f9dff6c729a2ed390,2020-11-28 15:59:43 +1100,,
,13929916,2020-11-30T20:47:14,0,False,5.0,2.751388888888889,-W umask=027,504,1962-01-01T00:00:00,1962-04-01T00:00:00,,90.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output504,469.727,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart504,95.585,Andrew Kiss,,,normal,66825.73,,,,,,10926.080000000075,12144,,,0.178,1735.93289,4617.81,1751.5,"[150, 100]",sectrobin,18,15,,80,2,52730403cede5ecd84412d2dde7b98c57414eb13,2020-11-30 18:03:48 +1100,,
,13937487,2020-11-30T23:42:50,0,False,4.0,2.3933333333333335,-W umask=027,505,1962-04-01T00:00:00,1962-07-01T00:00:00,,91.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output505,477.388,,,Andrew Kiss,,,normal,58129.28,,,,,,10895.360000000335,12144,,,0.059,504.055529,4631.54,481.08,"[150, 100]",sectrobin,18,15,,80,2,30fa97df07ad64a2f4f664a2a599891da0076d97,2020-11-30 21:20:54 +1100,,
